Title,Creators,Genre,Rating,Views,Likes,Engagement,Subscribers,Release Date,Synopsis
#Blessed,M. Victoria Robado,drama,9.18,22430919.0,2055736,0.09164742648306116,438390,2017.0,"Joanna is a mid-twenties office girl who likes social media and watered down coffee. While griping about her love life, she accidentally swiped right on a whole Pantheon of Gods and Goddesses! Looking to fulfill an ancient prophecy, only one of them will be able to claim Joanna as their own... after a nice dinner, that is!"
#Killstagram,Ryoung,thriller,9.31,45459497.0,3816843,0.08396139974887976,933881,2020.0,"Remi Do has everything -- she's super pretty, has the best brand sponsorships on social media, and gets 10,000 likes within seconds of posting a selfie. Oh, and she also has a serial-killing stalker following her every move."
'Til Debt Do Us Part,"Flowbee, janggreen",romance,9.7,26536673.0,2299546,0.08665539949186546,533458,2022.0,"Subin's mom routinely pays for matchmakers to set her up on dates. Subin turns them all down, one after another. One day she runs into an old friend from school, and things start to get complicated when he suddenly asks her to marry him. Is he the answer to her prayers or a devil in disguise? Will she take this chance to clear her debt?"
100,"Hyeong Eun, Yunyeol Choi",action,9.18,2662857.0,285891,0.10736250575979109,129924,2022.0,"Armed only with a gun and a frying pan, Hoyoung Cheon must survive Battlegrounds: a battle-royale style game with 100 participants, where there’s only one way to win: kill the 99 other players, all of them death-row convicts. Hoyoung has another objective besides survival, though -- he must find an assemblyman who was captured while investigating the game, and is now an unwilling participant. Can Hoyoung complete his mission on an island with 99 people willing to kill to survive, and emerge the last one standing?"
1000,"Chuck Brown, Sanford Greene",action,8.98,1515168.0,84218,0.05558327525396524,108224,2017.0,"Set in a modern world of aliens, warlocks, zombies, and ancient beasts, ""1000"" follows Dragon Son - a supreme entity who's abandoned all creation as he struggles to return to his true Dragon form by completing 1,000 acts of repentance. Son is joined by five other agents who are charged with secretly policing the world and keeping civilization from crumbling completely."
10th Dimension Boys,Cutbu,comedy,9.34,31497858.0,1037144,0.032927445415494604,118607,2014.0,"In another dimension, anything can happen in your daily life. Absurdly funny, the boys from the 10th dimension are up to no good again."
11 of Me,"Jaeyeong Yeong, Jiae Go",supernatural,8.81,1698015.0,228486,0.1345606487575198,105711,2021.0,"To Gibeom’s surprise, the mechanical calculator he bought working at a junkyard turns out to be a time machine! With the time machine, he sets out to find and bring together his past selves. Currently, all 11 versions of Gibeom are living together peacefully, but unexpected problems materialize as Gibeom(s) interacts with people outside of his circle..."
1111 Animals,1111,comedy,8.89,7305626.0,276446,0.03784015223336097,51148,2015.0,The secret lives of animals
1HP Club,elfboi,fantasy,9.64,71083150.0,7992424,0.1124376733445268,755107,2022.0,"A comic about the daily life of dungeon boys. Slaying the city, saving the dragons... or something like that."
2015: Space Series,Various Artists,sci-fi,9.26,1172916.0,70618,0.06020721006448885,61784,2015.0,Collective Comic Essays on the Universe and Beyond
21st Century Knights,Plastic Bottru,fantasy,9.41,8210330.0,1175706,0.14319838544857516,225997,2022.0,"Not all knights wield armor and swords; some are capable of summoning ethereal weapons known as ""Animas"". And if you are strong enough, you might be able to join the legendary Knight's Order. As part of the Knight's Order, your duty is to protect and serve the people. Theresa, however, has her own goals, and that is to find the white-haired knight. She'll make any sacrifice to do so. But what will she do when her pursuit for a single silver thread unravels the entire fabric that hides a sinister truth about knights and the world that they live in?"
3-Second Strip,"BAE jin soo, Bae Jin-Soo",comedy,8.51,17304351.0,905165,0.05230852055647738,68162,2015.0,Just spend three seconds of your day on this three-panel comic!
7FATES: CHAKHO,HYBE,fantasy,9.86,34703779.0,2678393,0.07717871301566322,1585911,2022.0,"In the corrupt city of Sin-si, Zeha suddenly wakes up in a hospital, unable to recall anything that happened after speaking with a mysterious man one night. He soon learns that strange beings called beom are wreaking havoc on the city. As destiny brings seven boys together, will they succeed in ending this fight, once and for all? Let the hunting begin!"
A Bittersweet Life,Donggeon Lee,slice of life,9.31,6995101.0,483157,0.06907076824194533,97637,2014.0,"A collection of sweet stories about couples and singles, office workers and unemployed people. 
 But be warned: there's more than a touch of bitterness here."
A Budgie's Life,Muffin Girl,slice of life,9.79,66800000.0,7300000,0.1092814371257485,342445,2017.0,"When it comes to birds we think they are just fluttering little creatures who have no contact with humans whatsoever. But bird owners know that's not true! Like pet dogs and cats, birds have a personality of their own.."
A Chance At Last,"Dindon, Seo hye eun",romance,9.49,14423445.0,1512092,0.10483570325951948,273561,2022.0,"Sisters Ju-eun and Hyejin grew up in absolute poverty. After their mother’s death, Hyejin accepts the offer to join their estranged father’s wealthy family. But when Hyejin turns out dead just three years later, Ju-eun is grief-stricken. She grabs at the chance to travel back in time and take her sister’s place where she meets the kind but mysterious Iho."
