,Title,Year,Episodes,Author(s),Kdrama Rating,Kdrama Genres,Kdrama Tags,Kdrama Watchers,Kdrama Popularity,Kdrama Cast,Kdrama Synopsis,WE Creators,WE Genre,WE Rating,WE Views,WE Likes,WE Engagement,WE Subscribers,WE Popularity,WE Synopsis
0,Revelations,,,,,,,,,,,,,,,,,,,
1,Child Shopping,2025,8,,,,,,,,,,,,,,,,,
2,The Garden of Harmony,2025,16,,,,,,,,,,,,,,,,,
3,The Great Ok Sook,,,,,,,,,,,,,,,,,,,
4,Manager Kim,,,,,,,,,,,"Jeongjongtaek, Toy",action,9.75,33203991,2633073,0.079,449164,0.025,"Single father, company manager, and former black-ops member, Mr. Kim lived an ordinary life until his daughter, Minji, went missing. After discovering his daughter could be dead, Mr. Kim turns merciless and sets out for information. He will rescue his daughter by any means necessary, even if it means destroying everything and everyone standing in his path."
5,Forest of Humans,,,,,,,,,,,Junho Hwang,thriller,9.53,3183246,385905,0.121,124853,0.003,A secret experiment on serial killers conducted in the woods? What could possibly go wrong? Follow one young researcher's descent into madness and self-doubt as she attempts to escape a locked facility with ten bloodthirsty murderers. Will she make it out with her humanity intact?
6,The Fugitives,,,,,,,,,,,,,,,,,,,
7,Dear Actresses,,,,,,,,,,,,,,,,,,,
8,Straightforward to the God Farming,,,,,,,,,,,,,,,,,,,
9,The Villainess's Debut Novel,,,,,,,,,,,,,,,,,,,
10,1 Second,,,,,,,,,,,"kwang woon, sini",action,9.63,7453573,1091942,0.146,123223,0.006,Every second counts when you're a first responder. But what if you could see a glimpse into the future? Hosu is a firefighter with the supernatural ability to do just that. There’s just one catch. It only works when he feels extreme stress under pressure. Will knowing what will happen ahead of time help Hosu extinguish fires before they completely destroy homes and lives? And will he learn to wield his ability when he needs it most?
11,Get Back,,,,,,,,,,,,,,,,,,,
12,Spirit Fingers,0,12,,,,,,,,,"Han Kyoung Chal, han kyoung chal",drama,9.91,37479668,5724285,0.153,377645,0.03,"What do you do if you're going on 18, totally awkward and lacking in self- confidence? You could just sit in your room all day and all night and study and wonder why you never get asked outâ€¦OR, if you're Amy Song you could join up with the Spirit Fingers , the strangest, hippest, coolest (yet most welcoming) art club ever. But as Amy is about to learn, discovering your TRUE colors is about more than just painting."
13,Master of the Wind and Moon,,,,,,,,,,,,,,,,,,,
14,ImmortalDays,,,,,,,,,,,,,,,,,,,
15,Bastard,,,,,,,,,,,"Carnby Kim, Youngchan Hwang",thriller,9.87,150388974,8084807,0.054,1746388,0.108,There is a serial killer in my house!
16,Pleasant Outcast,0,10,,,,,,,,,,,,,,,,,
17,Heesu in Class 2,2025,10,,,,,,,,,,,,,,,,,
18,Vampire Chef,,,,,,,,,,,,,,,,,,,
19,Aquaman,0,12,,,,,,,,,,,,,,,,,
20,Dead Man's Letter,,,,,,,,,,,,,,,,,,,
21,Low Life,2025,10,,,,,,,,,,,,,,,,,
22,Study Group,2025,10,,,,,,,,,"Hyungwuk Shin, Seungyeon Ryu",action,9.74,57154965,4167964,0.073,914972,0.042,"Nicknamed the “school for future criminals,” Yusung Technical High School isn’t exactly the ideal place to study. A rarity among his peers, Gamin is a student with just one goal: to get into university. At a school where it’s every man for himself, he is rejected from countless study groups before he decides to form his own. When Hankyeong, Gamin’s former tutor, joins his high school in hopes of earning her teacher certification, it seems like they’re both reaching for the impossible. Can they defeat the odds and achieve their dreams?

"
23,Cashero,,,,,,,,,,,,,,,,,,,
24,Mercy for None,2025,8,,,,,,,,,,,,,,,,,
25,Taxi Driver Season 3,2025,16,,,,,,,,,,,,,,,,,
26,Friendly Rivalry,2025,16,,,,,,,,,,,,,,,,,
27,Karma,2025,6,,,,,,,,,,,,,,,,,
28,New Generation War: Reawakened,,,,,,,,,,,,,,,,,,,
29,My Dearest Nemesis,2025,12,,,,,,,,,,,,,,,,,
30,Weak Hero Class 2,2025,8,,,,,,,,,,,,,,,,,
31,One: High School Heroes,2025,8,,,,,,,,,,,,,,,,,
32,The Mermaid I Loved,0,14,,,,,,,,,,,,,,,,,
33,S Line,2025,6,,,,,,,,,,,,,,,,,
34,Light Shop,2024,8,,,,,,,,,,,,,,,,,
35,Hellbound Season 2,2024,6,,,,,,,,,,,,,,,,,
36,Jeongnyeon: The Star Is Born,2024,12,,,,,,,,,,,,,,,,,
37,Cinderella at 2 AM,2024,10,,,,,,,,,,,,,,,,,
38,Perfect Family,2024,12,,,,,,,,,,,,,,,,,
39,Serendipity's Embrace,2024,8,,,,,,,,,,,,,,,,,
40,Sweet Home Season 3,2024,8,,,,,,,,,,,,,,,,,
41,The 8 Show,2024,8,,,,,,,,,,,,,,,,,
42,The Time of Fever    9.0,,,,,,,,,,,,,,,,,,,
43,Dare to Love Me,2024,16,,,,,,,,,,,,,,,,,
44,Begins Youth,2024,12,,,,,,,,,,,,,,,,,
45,Boys Be Brave!,2024,8,,,,,,,,,,,,,,,,,
46,Parasyte: The Grey,2024,6,,,,,,,,,,,,,,,,,
47,Please Teach Me    7.0,2024,64,,,,,,,,,,,,,,,,,
48,Jazz for Two,2024,8,,,,,,,,,,,,,,,,,
49,Chicken Nugget,2024,10,,,,,,,,,,,,,,,,,
50,Pyramid Game,2024,10,,,,,,,,,Dalgonyak,drama,9.62,17398937,2623261,0.151,314847,0.014,"Every Thursday afternoon, once a month, students at Love High cast their votes in a popularity poll. The result? A brutal ranking system that determines the entire social hierarchy of the school. After starting at the bottom, can new transfer student Suji make her way to the top of the pyramid? Or will she topple the game altogether?"
51,Wedding Impossible,2024,12,,,,,,,,,,,,,,,,,
52,A Killer Paradox,2024,8,,,,,,,,,kkomabi,thriller,8.93,716690,93235,0.13,29759,0.001,"A man wakes up, tied to a crucifix. He’s a district attorney, held prisoner by a serial killer named Tang Lee. Why is he there? And who is this twitchy man staring him down?
As the story unfolds, we follow Tang Lee’s descent from average nobody to murderer. The catch? All of his victims are revealed to be criminals, rapists, and killers who had escaped justice.
Is Tang an angel of retribution? Or is it all in his mind? At every turn, a new dark corner of society’s decay comes to light in this twisted thriller.
"
53,Love for Love's Sake,2024,8,,,,,,,,,,,,,,,,,
54,Death's Game Part 2,2024,4,,,,,,,,,,,,,,,,,
55,Love Song for Illusion,2024,16,,,,,,,,,VANZIUN,fantasy,9.34,3001715,337118,0.112,122413,0.002,"Wol Yeon of the great Yeon clan in the Kingdom of Asatae is a spirited girl who dreams of becoming a general one day. Her dreams are crushed when the royal government mercilessly eradicates her clan, murdering everyone, including Wol’s parents. Wol is left with no one she can trust but her tutor Jae-i, who proceeds to raise and train her as a master assassin so that she may take revenge against the king. Eight years later, Wol successfully infiltrates the palace to kill the king, only to find that all is not as it seems… "
56,Marry My Husband    9.0,2024,16,,,,,,,,,,,,,,,,,
57,Between Him and Her,2023,12,,,,,,,,,,,,,,,,,
58,Death's Game,2023,4,,,,,,,,,"GGULCHAN, LEE WONSIK",drama,9.75,17212303,1738633,0.101,415867,0.013,"He's perennially unemployed, his ex-girlfriend has moved on, and he's just lost all his life savings to a bitcoin scam. Burdened by societal pressures, Yijae Choi decides to take his own life. Insulted by his flippant attitude towards dying, Death comes to punish him with her game: he must experience death over and over again through 13 other lives. But if he can find a way to survive the imminent death coming for these lives, he gets to live out their lifetime. His life was a bust, but what about the lives of others?"
59,Sweet Home Season 2,2023,8,,,,,,,,,,,,,,,,,
60,A Bloody Lucky Day,2023,10,,,,,,,,,,,,,,,,,
61,Secret Playlist,2023,8,,,,,,,,,2F,romance,9.61,36884406,4758899,0.129,664103,0.029,"Hanju is your ordinary university studentâ€¦ except for the fact that she's also the up-and-coming Metube cover artist, PLII. When popular boy group member Levi takes notice of PLII and requests to collaborate, Hanju will do anything to hide her secret identity. But as the two grow closer working on a class project, Hanju's cover begins to unravel. Will Levi discover her secret?"
62,A Breeze of Love    7.5,2023,8,,,,,,,,,,,,,,,,,
63,Vigilante,2023,8,,,,,,,,,"CRG, kim kyusam",action,9.23,983466,103185,0.105,54805,0.001,"When Jiyong Kim was a boy, his mother was murdered. The assailant was tried in the court of law but served a mere three and a half years because he “deeply regrets his actions.” 17 years later, Jiyong is a college student, studying to become a police officer. But on the weekends, Jiyong hunts down ex-convicts released by a justice system that has failed to protect the victims, taking justice into his own hands to make up for its shortcomings."
64,Daily Dose of Sunshine,2023,12,,,,,,,,,,,,,,,,,
65,Moon in the Day,2023,14,,,,,,,,,,,,,,,,,
66,Perfect Marriage Revenge,2023,12,,,,,,,,,"Jerryball, Yibambe, so young",romance,9.5,100756845,7564514,0.075,1196662,0.074,"Iju Han isn’t sure where her life went wrong. Once the heiress to a wealthy business magnate, she’s now an ordinary housewife whose main concerns are her nagging in-laws and household chores. Things take a much more tragic turn, however, when she finds her husband confessing his love to her stepsister. Devastated, she runs away, only to be hit by a car and killed. But when she opens her eyes, she finds that she’s awakened a year ago in the past, before her life went awry. Given a second chance at life, Iju vows revenge, determined to take back all that she’s lost."
67,Brave Citizen,,,,,,,,,,,Kim Junghyun,action,8.78,1087953,127941,0.118,38001,0.001,"Simin So dominated the hapkido scene when she was a student. Seven years later, she comes back as a high school substitute teacher. She’s solely focused on becoming a full-time teacher when she crosses paths with Sugang Han, the school bully. Will Simin achieve her dream of snagging a full-time position despite Sugang’s efforts to bring her down?"
