Title,Year,Episodes,Author(s)
Revelations,,,
Child Shopping,2025,8.0,
The Garden of Harmony,2025,16.0,
The Great Ok Sook,,,
Manager Kim,,,
Forest of Humans,,,
The Fugitives,,,
Dear Actresses,,,
Straightforward to the God Farming,,,
The Villainess's Debut Novel,,,
1 Second,,,
Get Back,,,
Spirit Fingers,0,12.0,
Master of the Wind and Moon,,,
ImmortalDays,,,
Bastard,,,
Pleasant Outcast,0,10.0,
Heesu in Class 2,2025,10.0,
Vampire Chef,,,
Aquaman,0,12.0,
Dead Man's Letter,,,
Low Life,2025,10.0,
Study Group,2025,10.0,
Cashero,,,
Mercy for None,2025,8.0,
Taxi Driver Season 3,2025,16.0,
Friendly Rivalry,2025,16.0,
Karma,2025,6.0,
New Generation War: Reawakened,,,
My Dearest Nemesis,2025,12.0,
Weak Hero Class 2,2025,8.0,
One: High School Heroes,2025,8.0,
The Mermaid I Loved,0,14.0,
S Line,2025,6.0,
Light Shop,2024,8.0,
Hellbound Season 2,2024,6.0,
Jeongnyeon: The Star Is Born,2024,12.0,
Cinderella at 2 AM,2024,10.0,
Perfect Family,2024,12.0,
Serendipity's Embrace,2024,8.0,
Sweet Home Season 3,2024,8.0,
The 8 Show,2024,8.0,
The Time of Fever    9.0,,,
Dare to Love Me,2024,16.0,
Begins Youth,2024,12.0,
Boys Be Brave!,2024,8.0,
Parasyte: The Grey,2024,6.0,
Please Teach Me    7.0,2024,64.0,
Jazz for Two,2024,8.0,
Chicken Nugget,2024,10.0,
Pyramid Game,2024,10.0,
Wedding Impossible,2024,12.0,
A Killer Paradox,2024,8.0,
Love for Love's Sake,2024,8.0,
Death's Game Part 2,2024,4.0,
Love Song for Illusion,2024,16.0,
Marry My Husband    9.0,2024,16.0,
Between Him and Her,2023,12.0,
Death's Game,2023,4.0,
Sweet Home Season 2,2023,8.0,
A Bloody Lucky Day,2023,10.0,
Secret Playlist,2023,8.0,
A Breeze of Love    7.5,2023,8.0,
Vigilante,2023,8.0,
Daily Dose of Sunshine,2023,12.0,
Moon in the Day,2023,14.0,
Perfect Marriage Revenge,2023,12.0,
Brave Citizen,,,
Bump Up Business    6.5,2023,8.0,
Doona!,2023,9.0,
Taste of Horror,,,
A Good Day to Be a Dog,2023,14.0,
The Deal,2023,8.0,
Mask Girl,2023,7.0,
The Killing Vote,2023,12.0,
Concrete Utopia,,,
Moving,2023,20.0,
Happy Merry Ending (Movie),,,
Sing My Crush,2023,8.0,
The Uncanny Counter Season 2:,,,
D.P. Season 2,2023,6.0,
Not Others,2023,12.0,
Bump Up Business,,,
See You in My 19th Life,2023,12.0,
Unintentional Love Story Special    8.5,,,
Bloodhounds,2023,8.0,
Love Tractor    8.0,2023,8.0,
Black Knight,2023,6.0,
Happy Merry Ending    7.0,2023,8.0,
Duty after School: Part 2,2023,4.0,
The Ghost Station,,,
Joseon Attorney: A Morality,2023,16.0,
Duty after School: Part 1,2023,6.0,
Unintentional Love Story    8.5,2023,10.0,
Divorce Attorney Shin,2023,12.0,
Taxi Driver Season 2,2023,16.0,
Oh! My Assistant (Movie)    7.5,,,
Island,2022,6.0,
The Director Who Buys Me Dinner    7.0,2022,10.0,
"Work Later, Drink Now Season 2",2022,12.0,
A Superior Day,2022,8.0,
The Forbidden Marriage,2022,12.0,
Gaus Electronics,2022,12.0,
Summer Strike,2022,12.0,
Unlock My Boss,2022,12.0,
Lucky Romance,2016,16.0,
Misaeng: Incomplete Life,2014,20.0,
Save Me,2017,16.0,
Connect,2022,6.0,
Oh! My Assistant    7.5,2022,8.0,
Weak Hero Class 1,2022,8.0,
The Golden Spoon,2022,16.0,
Seasons of Blossom,2022,16.0,
Today's Webtoon,2022,16.0,
Oh! Boarding House (Movie),,,
The Flatterer,,,
Jinxed at First,2022,16.0,
Yumi's Cells Season 2,2022,14.0,
Pumpkin Time (Movie),,,
Love in Spring    6.5,2022,16.0,
The Sound of Magic,2022,6.0,
Tomorrow,2022,16.0,
Blueming    8.5,2022,11.0,
International Student Haha,,,
Cherry Blossoms after Winter    8.5,2022,8.0,
Oh! Boarding House    7.0,2022,8.0,
I Have Not Done My Best Yet,2022,12.0,
Love and Leashes    8.5,,,
