Title,Rating,Genres,Rank,Year,Air Date,Episodes,Duration,Watchers,Tags,Synopsis,Cast,Network,Review
100 Days My Prince,8.3,"Comedy, Drama, Historical, Romance",#187,2018.0,2018.0,16,75.0,,"Amnesia, Double Identity, Eccentric Male Lead, Fake Marriage, Hardworking Female Lead, Hidden Identity, Joseon Dynasty, Marriage Of Convenience, Riches To Rags, Strong Female Lead","Lee Yul, Crown Prince of Joseon, is a perfectionist who disregards most royal palace nobles. His cold and demanding demeanor masks deeply-rooted loneliness. He comes to pass a law stating that Korean citizens of marriageable age must wed before the age of 28. Hong Shim is a strong, intelligent woman who supports herself and her father. After an attempt on his life, Crown Prince Lee Yul is severely injured and finds himself under the care of the Hong household. He’s experiencing temporary amnesia, and now unaware of his identity, he is free to wander at will as a commoner. Due to the law, he himself passed, Hong Shim, now the oldest unmarried woman in her village, must marry or face punishment from officials. Lee Yul proposes to Hong Shim that they ought to marry. Can their budding romance withstand Lee Yul’s eventual recovery, with his memory fully intact?","Doh Kyung Soo, Han So Hee, Jo Sung Ha, Kim Jae Young, Kim Seon Ho, Nam Ji Hyun",tvN,"As a valid fan of the actor Kyungsoo, I had to watch his first period drama. And, even though he didn't disappoint neither in his romantic scenes, nor in the action scenes, the story had some major plot holes that were never properly explained. The story, as it is, was interesting, as the main idea behind it was kind of original and well executed. However, the drama was kind of boring at some points. The performances, moreover, were really good from all the actors and actresses and the soundtrack was phenomenal. So, 7 out of 10.   Was this review helpful to you? Yes No Cancel"
100% Era,,,5532,2021.0,2021.0,8,,,,"100% Era imagines the post-corona future. How the lives of kids born during the pandemic will look like? What will humanity and teens look like in 2044? Our teenagers living in a more competitive world, where the world no longer needs human hands. For humans, the competition to rise to the top is intensifying. How to secretly love children in the era when schools disappeared and contactless.Hee Jae and Shi Dae attend the same top rank education academy. It focuses on training kids to score 100% on tests, while kids who score below 90% get expelled. In such an environment, Shi Dae and Hee Jae spend their teenage years and grow together.","Lee Seung Yeon, Lee Soo Min, Logan, Pyun Kang Yoon, Yeo Ji Min, Yoo Jung Woo",,"Good Enough  Korean Webdrama ""100% Era"" tries to present an ambitious for a short drama theme, and it succeeds masterfully. The atmosphere was on point and it was just like watching a western dystopian movie, with the right amount of mystery, suspense, thriller, and drama. The story starts smoothly, with the drama introducing the current situation and the two characters, the main female lead and her mother, whose relationship is one of the central themes of the drama. Therefore, it was nicely built, with the right pacing and intensity. The drama also narrates the story of the two friends who discover what is really important in life. The romance was cute, dramatic sometimes, but with some sweet moments too. However, the ending of the drama was lukewarm, as it felt less compared to the rest of the story. As for the performances, everyone did a great job with their character, but the leading lady was especially enjoyable.Finally, the presentation of the story was masterfully done. The pace was just right, the dystopian theme was nicely handled and the settings were perfect.So, overall, 8 out of 10."
10000 Ways to Become a Couple,,,99999,2017.0,2017.0,5,,,,"‘Are we doing alright?’ From the first fight to the feeling of stuck in a rut, the drama portrays ups and downs of a relationship that everyone can relate. (Source: ONDemand Korea) ",,,
109 Strange Things,,,8872,2017.0,2017.0,6,,,,"When a robot comes from the future, will a philosophy major understand the significance of it?KDI-109, a robot from the future. He ends up living in the home of Shin Ki Won, a fourth-year college student who is studying philosophy. As Ki Won wrestles with life’s big questions and finding gainful employment after college, can KDI-109 help her find the answers?(Source: IMDb)","Cho Yi Hyun, Choi  Tae Joon, Jung Chae Yeon, Kim  Tae Yoon, Kim Yong Jin, Song Tae Woo",Naver TV Cast,"I honestly went into this with low expectations, considering the reviews and the blurb, but it turned out to be better than I expected. I appreciated that the characters were dealing with very real life issues like finding a job, being motivated, etc, and some subtle humor was actually decent.As expected for a short web drama though, it didn't get to explore these things in depth as much as I wished it did, and the ending felt very bubblegum as everything just suddenly started going right.The more action-packed plotline was also a nice surprise  it's rare that web dramas try to explore a story that needs so much backstory. Sadly though I felt like the resolution was very deus ex machina, and it had no lead-in or sufficient explanation.I also really didn't like the side characters, and maybe part of it is just that there were way too many, and they all seemed to be dealing with the same issue of not knowing what you want to do in life. And the robot would solve it for them  it all got a bit repetitive."
18 Again,8.67,"Drama, Fantasy, Life, Romance",203,2020.0,2020.0,16,70.0,83582.0,"Becoming Young, Character Development, Divorce, Father-Daughter Relationship, Father-Son Relationship, First Love, Hardworking Female Lead, Hidden Identity, Life Lesson, Married Couple, Mother-Daughter Relationship, Personal Growth, Remake, Return To Past, Second Chance, Teenage Pregnancy","After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.
Shaken by his wife’s decision to leave him and utterly disappointed in where life has taken him, Dae Young takes a hard look at his life. It doesn’t take him long to see all the places where things went wrong, and soon he finds himself regretting absolutely everything about his life. The moment the thoughts of regret enter his head, his body is instantly transformed into that of an eighteen year old, while his thirty-seven year old mind remains intact. Suddenly given the chance to re-do his entire life, Dae Young changes his name to Ko Woo Young and enrolls himself in his children's’ school. Seeing life from an entirely different perspective, Dae Young soon finds that despite keeping his middle-aged brain, he still has a lot to learn.","Kim Ha Neul, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon, Yoon Sang Hyun",jTBC,"Beautiful moments surrounded by nothing.   Heres the thing - I liked the show when it started airing. I knew few people thought this type of plot might not work out with a drama format, but I was still full of hope. At some point, though, I had to admit they were right and I was wrong.This show should be 12 episodes long at best. Preferable 6 to 10. It should focus on exactly 3 plotlines: Da Jung and Dae Young, Dae Young and his kids, and Da Jungs job/dream. They should fill the episodes with school drama, as a lot of interactions were happening there. You can even keep the bullying and teen romance. But why, oh why do we need a love triangle? Why do we need a 2nd couple/romance? Why do we need all the scenes and interactions between Deok Jin and Ae Rin? Why do we need that Il Kwon mess? Or what was the point of this mystery photographer guy? There is so much going on in this show, and yet it feels like nothing is happening. All the most memorable moments that were truly meaningful were the family interactions. We do not need that many filler plots.The last two episodes were some whole new level of cliche and stereotypes. When you have 2 cars of doom for the price of one, you know you've hit the jackpot. The back story about Ji Hoon's brother being connected to Dae Young was unnecessary and presented in the worst possible way. Such an emotional scene and yet, I could not stop laughing when the 2nd car came out of nowhere.I don't even want to talk about the last minute ""I'm breaking up with you for your own good"" plot, because that trope just needs to die, or at least take a few years break from appearing on screen.The highlights? All the scenes between Dae Young and his kids, both in the past and present. The slow realization he had about mistakes he made, the gradual learning that Dae Young actually cared a lot for Shi Ah and Shi Woo. These are the scenes I will remember after the show ends, and these are the ones that moved my heart the most. These were the gems that made me cry so many times, and if the show focused more on the actually important parts (relationships between main characters), chances are it might have gotten a 10 out of me.For the acting, Lee Do Hyun aced the role. There are quite a few shows with the younger actor playing an older character after body switch, but none of the actors were as believable as Do Hyun. I trust this guy with my life. What do I see? Bright future ahead of him. His talent will lead him to some great roles and amazing projects.Overall, the acting was on point. The emotional scenes were emotional, happy and funny scenes were just that: happy and funny. No areas of complaint here. Some people might dislike a few overacting moments from Lee Mi Do, Kim Kang Hyun and Kim Yoo Ri, but it was clearly a stylistic choice that has nothing to do with the acting skills of the actors themselves.Usually I dont pay that much attention to the soundtrack, unless its truly outstanding. Here, I liked quite a few songs, especially Sohyangs Hello, which truly elevated the emotional scenes to a new level. Not to mention Sondia, who became one of my favorite ost singers, with an amazingly sweet and warm voice.Overall, nice show, but skippable. I stayed for the parents and kids relationship and Lee Do Hyuns acting. Even though I am massively disappointed by the obvious ending and last two episodes, the scenes between the family still made me tear up a bit and it shows how amazing this drama could have been if it was not for the unnecessary sub-plots."
187 cm Male Friend vs 155 cm Female Friend,,,54666,2020.0,2020.0,3,,,,"A short, cute drama about friends-to-lovers couple, with a height difference of 30 cm. Female lead is cute girl called Lee Seul and she's 155 cm, male lead and her childhood bestfriend is Min Ki, who's 187 cm tall.(Source: IceTea_Aiste on MyDramaList)",,,"Cortissima ma carina e spiritosa.  Chiamarlo drama sarebbe un parolone perch veramente  cortissimo nemmeno mezz'ora ed  un peccato che la storia  carina e loro sono dolcissimi.Una storia di adolescenti dove lui  alto 187 e lei soltanto 155 da qui il nome del drama,amici da sempre alla fine lui si dichiara ma per il complesso del altezza per lei sembra difficile che lui la possa davvero apprezzare.Attori giovanissimi e bellini tutti e due e insieme sono dolcissimi lei cos piccola che accanto a lui sembra una bambina.Sarebbe stato bello vedere qualche puntata in pi e vedere l'evolvere della storia, ma comunque alla fine non  una perdita di tempo passare qualche minuto a vedere questo mini drama."
20+1,,,57629,2019.0,2019.0,6,,,,,,Naver TV Cast,
2021 Summer Drama Collage: Monster Mansion,,,51597,2021.0,2021.0,8,,,,An anthology work that captures the strange and eerie real-life horror that happens while webtoon writer Ji Woo reports on the abandoned apartment Gwanglim Mansion.(Source: Korean = Naver || Translation = MyDramaList) ,"Kim Bo Ra, Kim Hong Pa, Lee Chang Hoon, Park So Jin, Sung Joon",Genie TV,
20th Century Boy and Girl,,,3014,2017.0,2017.0,32,,,,"A top actress/singer who has an innocent soul in contrast to her gorgeous look, a slender airline stewardess who loves food and a young attorney who luckily landed a job at a private law firm but finds herself working long hours... All three of these women were members of the Bongo clique from the time they used to live in the same Seoul Mansion apartment complex. They still stay in touch despite their busy lives. Appearance-wise, one friend seems to have a successful acting career, and the other two work in reputable professions in the airline industry and law, but they deal with a lot of stress in their lives. Their lives as thirties in the big city of Seoul is a stressful one and they try to rekindle the lives they had when they were in their innocent teens while also searching for love and maintaining their deep friendship.(Source: MBC America)","Ahn Se Ha, Han Ye Seul, Kim Ji Suk, Lee Sang Hee, Lee Sang Woo, Ryu Hyun Kyung",MBC,"How do I even begin reviewing 20th Century Boy and Girl, how should I rate this? On one hand the drama has fairly little emotional impact, there is no angst whatsoever, but the romances are also not exactly overflowing with emotional charge either. There is not much plot, but it meanders in strange directions. It's fantastic that the love triangle is so tame & easily resolved, but at the same time Anthony's character is just a waste of screen time, he is not annoying, just boring. Also the whole setting has infinite untapped makjang potential, certainly it's awesome that the writer did not go in that direction, but when I realized that the two male leads are stepbrothers, I could not help, but roll my eyes.  Also the way the ML kept telling the second ML that he is only only friends with FL repeatedly certainly caused me some minor frustrations. Despite the above I had a great time watching the drama. The sismances are up there with the very best & Han Ye Seul's calming energy is something rarely seen. Also the leads had great chemistry & looked adorable together. Most things in the drama are unusually wholesome and it's super nice how quickly and easily the scandals are dealt with. I cannot help, but feel that there were too many (interesting) characters to completely develop them in 32 half-episodes and the team has even wasted 2 full episodes worth of time on Anthony. Still gotta give them credit where credit is due. How often does one watch a relaxed romcom like this without it becoming draggy? The episodes certainly went by really fast, I reached the finale in a flash."
22 Flower Road,,,4599,2019.0,2019.0,12,,,,"""22 Flower Road"" is a webdrama about young people who share what they have and do not have with each other and become adults. It is expected to bring about realistic empathy with its highlights through the youthful lives of five young people.(Source: HanCinema)","Ahn Jung Hun, Hong Bi Ra, Jeong Soo Hyun, Jung Hwi Young, Kang Yul, Kim Ye Eun",,""" 22 Flower Street "" was a cute web drama. The story was predictable but it was sweet and youthful. The characters were quite interesting as well, especially the leading lady who was pretty adorable and funny. The drama did a good job with the pacing and the presentation of the love story as well, which, unexpectedly, had some time to conclude things properly and give the couple more moments. The latter was actually pretty cute together, with nice chemistry. The love triangle was managed masterfully too. Finally, the performances   were decent too. So, overall, eight out of ten."
