Title,Genre,Creators,Views,Likes,Subscribers,Rating,Release Date,Schedule,Synopsis
 This Wasn't My Plan,romance,"BOM SOHEE, SEI KIM",5139129.0,509745,126211,8.6,,Sunday,"In a twist of fate, Ro-a finds herself thrown back a decade in time. This isn't just a trip down memory lane. She's faced with a younger, naive Sihyeon, the future superstar who would brutally wrong her. Armed with knowledge of what's to come, Ro-a sees a golden opportunity: a chance to rewrite their history. Can she resist the allure of revenge and change Sihyeon's destiny before he becomes her nightmare?
"
#Blessed,drama,M. Victoria Robado,22430919.0,2055736,438390,9.18,2017.0,Friday,"Joanna is a mid-twenties office girl who likes social media and watered down coffee. While griping about her love life, she accidentally swiped right on a whole Pantheon of Gods and Goddesses! Looking to fulfill an ancient prophecy, only one of them will be able to claim Joanna as their own... after a nice dinner, that is!"
#Killstagram,thriller,Ryoung,45459497.0,3816843,933881,9.31,2020.0,Saturday,"Remi Do has everything -- she's super pretty, has the best brand sponsorships on social media, and gets 10,000 likes within seconds of posting a selfie. Oh, and she also has a serial-killing stalker following her every move."
#muted,romance,kandismon,4736547.0,515668,190216,9.12,,Saturday,"Jasper's heart lights up when he meets Kai, a boy who doesn't speak, and life becomes a little less lonely for them both. But when old wounds threaten to reopen, their ever-growing connection is put to the test. Will the silence stand in the way of their love, or will they find a way to communicate the feelings they both have?

This series contains themes regarding mental health that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/)."
'Til Debt Do Us Part,romance,"Flowbee, janggreen",26536673.0,2299546,533458,9.7,2022.0,Sunday,"Subin's mom routinely pays for matchmakers to set her up on dates. Subin turns them all down, one after another. One day she runs into an old friend from school, and things start to get complicated when he suddenly asks her to marry him. Is he the answer to her prayers or a devil in disguise? Will she take this chance to clear her debt?"
+99 Reinforced Wooden Stick,comedy,"HONGSIL, JIPERY",46385066.0,3279450,647063,9.27,,Saturday,"Welcome to “Chrono Life,” a virtual reality game where only the strongest survive.
Ji-u logs in to “Chrono Life,” only to be ignored and ridiculed by the other players for his lack of experience, crappy items, and being an overall noob.
But when he upgrades his wooden stick to the max reinforcement level of +99, Ji-u realizes he has the power to split continents and slay armies of thousands in just one swing.
“It’s time to teach the rest of you a lesson, you f*ckers.”"
1 Second,action,"kwang woon, sini",7453573.0,1091942,123223,9.63,,Monday,Every second counts when you're a first responder. But what if you could see a glimpse into the future? Hosu is a firefighter with the supernatural ability to do just that. There’s just one catch. It only works when he feels extreme stress under pressure. Will knowing what will happen ahead of time help Hosu extinguish fires before they completely destroy homes and lives? And will he learn to wield his ability when he needs it most?
100,action,"Hyeong Eun, Yunyeol Choi",2662857.0,285891,129924,9.18,2022.0,Sunday,"Armed only with a gun and a frying pan, Hoyoung Cheon must survive Battlegrounds: a battle-royale style game with 100 participants, where there’s only one way to win: kill the 99 other players, all of them death-row convicts. Hoyoung has another objective besides survival, though -- he must find an assemblyman who was captured while investigating the game, and is now an unwilling participant. Can Hoyoung complete his mission on an island with 99 people willing to kill to survive, and emerge the last one standing?"
1000,action,"Chuck Brown, Sanford Greene",1515168.0,84218,108224,8.98,2017.0,Thursday,"Set in a modern world of aliens, warlocks, zombies, and ancient beasts, ""1000"" follows Dragon Son - a supreme entity who's abandoned all creation as he struggles to return to his true Dragon form by completing 1,000 acts of repentance. Son is joined by five other agents who are charged with secretly policing the world and keeping civilization from crumbling completely."
10th Dimension Boys,comedy,Cutbu,31497858.0,1037144,118607,9.34,2014.0,"Tuesday, Wednesday, Thursday","In another dimension, anything can happen in your daily life. Absurdly funny, the boys from the 10th dimension are up to no good again."
11 of Me,supernatural,"Jaeyeong Yeong, Jiae Go",1698015.0,228486,105711,8.81,2021.0,Monday,"To Gibeom’s surprise, the mechanical calculator he bought working at a junkyard turns out to be a time machine! With the time machine, he sets out to find and bring together his past selves. Currently, all 11 versions of Gibeom are living together peacefully, but unexpected problems materialize as Gibeom(s) interacts with people outside of his circle..."
